"indicator","County","Year","subgroup1","subgroup_cat1","subgroup2","subgroup_cat2","aaRate10K","aaRate10Kpy","count","cRate10K","cRate10Kpy","dailyMean"
"ED Visits","Cayuga","2011-2013","Total",,"Total",,120.43,40.143,925,116.46,38.819,0.844
"ED Visits","Cayuga","2012-2014","Total",,"Total",,127.16,42.387,967,122.22,40.741,0.882
"ED Visits","Cayuga","2013-2015","Total",,"Total",,122.63,40.878,899,114.21,38.069,0.821
"ED Visits","Cayuga","2014-2016","Total",,"Total",,116.74,38.914,826,105.57,35.189,0.754
"ED Visits","Cayuga","2015-2017","Total",,"Total",,117.77,39.256,820,105.39,35.128,0.748
"ED Visits","Cayuga","2016-2018","Total",,"Total",,107.75,35.918,745,96.23,32.077,0.680
"ED Visits","Cayuga","2017-2019","Total",,"Total",,99.46,33.153,685,88.90,29.634,0.626
"ED Visits","Chautauqua","2005-2007","Total",,"Total",,218.59,72.862,2772,204.19,68.065,2.532
"ED Visits","Chautauqua","2005-2019","Total",,"Total",,921.85,61.457,11126,839.91,55.994,2.031
"ED Visits","Chautauqua","2006-2008","Total",,"Total",,196.74,65.579,2480,183.09,61.031,2.263
"ED Visits","Chautauqua","2007-2009","Total",,"Total",,198.64,66.214,2492,184.18,61.393,2.274
"ED Visits","Chautauqua","2008-2010","Total",,"Total",,206.00,68.665,2569,190.23,63.408,2.344
"ED Visits","Chautauqua","2009-2011","Total",,"Total",,218.48,72.826,2691,199.76,66.587,2.458
"ED Visits","Chautauqua","2010-2012","Total",,"Total",,207.00,69.001,2510,187.20,62.401,2.290
"ED Visits","Chautauqua","2011-2013","Total",,"Total",,189.25,63.084,2296,172.04,57.348,2.095
"ED Visits","Chautauqua","2012-2014","Total",,"Total",,182.36,60.786,2199,165.79,55.264,2.006
"ED Visits","Chautauqua","2013-2015","Total",,"Total",,181.57,60.522,2183,165.74,55.247,1.994
"ED Visits","Chautauqua","2014-2016","Total",,"Total",,168.21,56.068,1976,151.42,50.474,1.803
"ED Visits","Chautauqua","2015-2017","Total",,"Total",,145.78,48.593,1685,130.25,43.416,1.537
"ED Visits","Chautauqua","2016-2018","Total",,"Total",,126.86,42.286,1438,112.04,37.346,1.312
"ED Visits","Chautauqua","2017-2019","Total",,"Total",,135.01,45.005,1513,118.59,39.530,1.382
"ED Visits","Chemung","2005-2007","Total",,"Total",,264.94,88.314,2222,250.39,83.463,2.029
"ED Visits","Chemung","2005-2019","Total",,"Total",,1031.22,68.748,8413,963.06,64.204,1.536
"ED Visits","Chemung","2006-2008","Total",,"Total",,239.31,79.771,2003,226.01,75.338,1.828
"ED Visits","Chemung","2007-2009","Total",,"Total",,228.51,76.169,1913,215.76,71.921,1.745
"ED Visits","Chemung","2008-2010","Total",,"Total",,224.78,74.927,1872,210.93,70.311,1.708
"ED Visits","Chemung","2009-2011","Total",,"Total",,242.12,80.707,2010,226.15,75.382,1.836
"ED Visits","Chemung","2010-2012","Total",,"Total",,241.13,80.377,2007,225.56,75.188,1.831
"ED Visits","Chemung","2011-2013","Total",,"Total",,221.95,73.985,1848,208.24,69.412,1.686
"ED Visits","Chemung","2012-2014","Total",,"Total",,192.09,64.031,1593,180.67,60.224,1.453
"ED Visits","Chemung","2013-2015","Total",,"Total",,168.55,56.182,1385,158.54,52.846,1.265
"ED Visits","Chemung","2014-2016","Total",,"Total",,164.28,54.760,1318,152.35,50.785,1.203
"ED Visits","Chemung","2015-2017","Total",,"Total",,154.87,51.622,1228,143.30,47.766,1.120
"ED Visits","Chemung","2016-2018","Total",,"Total",,148.30,49.434,1150,135.66,45.220,1.049
"ED Visits","Chemung","2017-2019","Total",,"Total",,149.36,49.788,1153,137.19,45.731,1.053
"ED Visits","Chenango","2005-2007","Total",,"Total",,161.52,53.840,754,146.88,48.958,0.689
"ED Visits","Chenango","2005-2019","Total",,"Total",,788.01,52.534,3509,706.72,47.115,0.641
"ED Visits","Chenango","2006-2008","Total",,"Total",,160.65,53.549,736,143.21,47.736,0.672
"ED Visits","Chenango","2007-2009","Total",,"Total",,161.44,53.813,730,142.74,47.579,0.666
"ED Visits","Chenango","2008-2010","Total",,"Total",,166.41,55.470,743,146.29,48.765,0.678
"ED Visits","Chenango","2009-2011","Total",,"Total",,172.61,57.536,776,153.95,51.316,0.709
"ED Visits","Chenango","2010-2012","Total",,"Total",,172.58,57.526,777,154.92,51.640,0.709
"ED Visits","Chenango","2011-2013","Total",,"Total",,155.11,51.703,705,141.43,47.144,0.643
"ED Visits","Chenango","2012-2014","Total",,"Total",,159.48,53.159,712,143.67,47.888,0.650
"ED Visits","Chenango","2013-2015","Total",,"Total",,155.69,51.897,693,140.88,46.961,0.633
"ED Visits","Chenango","2014-2016","Total",,"Total",,162.51,54.170,700,143.44,47.812,0.639
"ED Visits","Chenango","2015-2017","Total",,"Total",,156.34,52.113,669,138.52,46.172,0.610
"ED Visits","Chenango","2016-2018","Total",,"Total",,154.47,51.489,649,135.62,45.206,0.592
"ED Visits","Chenango","2017-2019","Total",,"Total",,145.56,48.521,607,127.83,42.609,0.554
"ED Visits","Clinton","2005-2007","Total",,"Total",,337.94,112.647,2812,341.07,113.691,2.568
"ED Visits","Clinton","2005-2019","Total",,"Total",,1236.68,82.446,9941,1218.80,81.254,1.815
"ED Visits","Clinton","2006-2008","Total",,"Total",,358.11,119.369,2975,360.60,120.200,2.714
"ED Visits","Clinton","2007-2009","Total",,"Total",,368.14,122.714,3028,367.42,122.474,2.763
"ED Visits","Clinton","2008-2010","Total",,"Total",,365.08,121.692,2978,362.03,120.676,2.717
"ED Visits","Clinton","2009-2011","Total",,"Total",,297.83,99.277,2407,293.41,97.804,2.198
"ED Visits","Clinton","2010-2012","Total",,"Total",,232.94,77.647,1884,230.19,76.729,1.719
"ED Visits","Clinton","2011-2013","Total",,"Total",,181.28,60.428,1467,179.66,59.886,1.339
"ED Visits","Clinton","2012-2014","Total",,"Total",,173.36,57.786,1397,171.27,57.090,1.275
"ED Visits","Clinton","2013-2015","Total",,"Total",,228.59,76.198,1811,222.93,74.311,1.654
"ED Visits","Clinton","2014-2016","Total",,"Total",,217.93,72.645,1708,211.14,70.380,1.558
"ED Visits","Clinton","2015-2017","Total",,"Total",,204.39,68.129,1588,197.06,65.688,1.449
"ED Visits","Clinton","2016-2018","Total",,"Total",,143.01,47.671,1092,135.53,45.178,0.996
"ED Visits","Clinton","2017-2019","Total",,"Total",,127.43,42.477,976,121.14,40.381,0.891
"ED Visits","Columbia","2005-2007","Total",,"Total",,156.49,52.164,853,134.28,44.760,0.779
"ED Visits","Columbia","2005-2019","Total",,"Total",,745.96,49.731,3868,623.32,41.554,0.706
"ED Visits","Columbia","2006-2008","Total",,"Total",,158.71,52.905,863,136.18,45.395,0.787
"ED Visits","Columbia","2007-2009","Total",,"Total",,166.74,55.579,900,142.33,47.442,0.821
"ED Visits","Columbia","2008-2010","Total",,"Total",,154.51,51.505,830,131.53,43.843,0.757
"ED Visits","Columbia","2009-2011","Total",,"Total",,151.91,50.637,798,126.94,42.315,0.729
"ED Visits","Columbia","2010-2012","Total",,"Total",,138.62,46.207,722,115.20,38.402,0.659
"ED Visits","Columbia","2011-2013","Total",,"Total",,141.68,47.226,739,118.46,39.488,0.674
"ED Visits","Columbia","2012-2014","Total",,"Total",,137.13,45.711,717,115.30,38.432,0.654
"ED Visits","Columbia","2013-2015","Total",,"Total",,141.50,47.168,737,119.16,39.721,0.673
"ED Visits","Columbia","2014-2016","Total",,"Total",,135.58,45.193,692,112.70,37.566,0.631
"ED Visits","Columbia","2015-2017","Total",,"Total",,135.12,45.038,679,111.55,37.184,0.620
"ED Visits","Columbia","2016-2018","Total",,"Total",,146.51,48.836,710,117.71,39.236,0.648
"ED Visits","Columbia","2017-2019","Total",,"Total",,156.35,52.117,754,125.96,41.986,0.689
"ED Visits","Cortland","2005-2007","Total",,"Total",,52.02,17.340,249,50.34,16.779,0.227
"ED Visits","Cortland","2005-2019","Total",,"Total",,594.19,39.612,2726,558.65,37.243,0.498
"ED Visits","Cortland","2006-2008","Total",,"Total",,86.67,28.891,410,82.77,27.589,0.374
"ED Visits","Cortland","2007-2009","Total",,"Total",,114.82,38.273,540,109.08,36.359,0.493
"ED Visits","Cortland","2008-2010","Total",,"Total",,123.32,41.106,567,114.80,38.266,0.517
"ED Visits","Cortland","2009-2011","Total",,"Total",,135.93,45.309,640,129.71,43.238,0.584
"ED Visits","Cortland","2010-2012","Total",,"Total",,153.45,51.151,706,143.42,47.805,0.644
"ED Visits","Cortland","2011-2013","Total",,"Total",,167.98,55.993,802,163.33,54.444,0.732
"ED Visits","Cortland","2012-2014","Total",,"Total",,161.80,53.932,764,156.27,52.090,0.697
"ED Visits","Cortland","2013-2015","Total",,"Total",,147.78,49.260,699,143.69,47.898,0.638
"ED Visits","Cortland","2014-2016","Total",,"Total",,133.69,44.564,590,122.12,40.705,0.538
"ED Visits","Cortland","2015-2017","Total",,"Total",,123.55,41.182,521,108.53,36.176,0.475
"ED Visits","Cortland","2016-2018","Total",,"Total",,116.39,38.798,492,102.89,34.297,0.449
"ED Visits","Cortland","2017-2019","Total",,"Total",,121.92,40.639,518,108.58,36.194,0.473
"ED Visits","Delaware","2005-2007","Total",,"Total",,106.68,35.561,473,97.80,32.599,0.432
"ED Visits","Delaware","2005-2019","Total",,"Total",,601.60,40.107,2477,528.77,35.251,0.452
"ED Visits","Delaware","2006-2008","Total",,"Total",,103.41,34.470,452,93.46,31.154,0.412
"ED Visits","Delaware","2007-2009","Total",,"Total",,115.06,38.352,495,102.42,34.139,0.452
"ED Visits","Delaware","2008-2010","Total",,"Total",,127.05,42.350,538,111.75,37.249,0.491
"ED Visits","Delaware","2009-2011","Total",,"Total",,140.55,46.851,592,123.63,41.210,0.541
"ED Visits","Delaware","2010-2012","Total",,"Total",,128.51,42.835,539,113.32,37.775,0.492
"ED Visits","Delaware","2011-2013","Total",,"Total",,126.86,42.286,529,112.07,37.358,0.483
"ED Visits","Delaware","2012-2014","Total",,"Total",,121.10,40.365,498,106.27,35.425,0.454
"ED Visits","Delaware","2013-2015","Total",,"Total",,128.61,42.869,528,113.75,37.916,0.482
"ED Visits","Delaware","2014-2016","Total",,"Total",,119.35,39.782,478,104.03,34.676,0.436
"ED Visits","Delaware","2015-2017","Total",,"Total",,115.67,38.556,449,98.82,32.939,0.410
"ED Visits","Delaware","2016-2018","Total",,"Total",,114.99,38.331,440,97.82,32.605,0.401
"ED Visits","Delaware","2017-2019","Total",,"Total",,119.92,39.973,459,103.00,34.333,0.419
"ED Visits","Dutchess","2005-2007","Total",,"Total",,167.25,55.749,4760,161.47,53.822,4.347
"ED Visits","Dutchess","2005-2019","Total",,"Total",,795.56,53.037,22078,747.46,49.831,4.030
"ED Visits","Dutchess","2006-2008","Total",,"Total",,179.80,59.934,5126,173.51,57.836,4.677
"ED Visits","Dutchess","2007-2009","Total",,"Total",,178.66,59.555,5102,172.27,57.424,4.655
"ED Visits","Dutchess","2008-2010","Total",,"Total",,167.02,55.674,4780,160.96,53.655,4.361
"ED Visits","Dutchess","2009-2011","Total",,"Total",,159.69,53.230,4585,154.07,51.358,4.187
"ED Visits","Dutchess","2010-2012","Total",,"Total",,162.51,54.171,4652,156.30,52.101,4.245
"ED Visits","Dutchess","2011-2013","Total",,"Total",,167.17,55.723,4740,159.52,53.173,4.325
"ED Visits","Dutchess","2012-2014","Total",,"Total",,166.44,55.480,4636,156.55,52.183,4.230
"ED Visits","Dutchess","2013-2015","Total",,"Total",,155.90,51.967,4269,144.64,48.214,3.899
"ED Visits","Dutchess","2014-2016","Total",,"Total",,151.02,50.339,4054,137.86,45.954,3.699
"ED Visits","Dutchess","2015-2017","Total",,"Total",,144.09,48.030,3825,130.31,43.436,3.490
"ED Visits","Dutchess","2016-2018","Total",,"Total",,143.40,47.799,3757,128.00,42.668,3.428
"ED Visits","Dutchess","2017-2019","Total",,"Total",,143.35,47.784,3744,127.39,42.463,3.419
"ED Visits","Erie","2005-2007","Total",,"Total",,188.19,62.732,16328,176.25,58.751,14.911
"ED Visits","Erie","2005-2019","Total",,"Total",,918.88,61.259,78316,850.19,56.679,14.296
"ED Visits","Erie","2006-2008","Total",,"Total",,183.69,61.229,15858,171.87,57.290,14.469
"ED Visits","Erie","2007-2009","Total",,"Total",,189.55,63.183,16337,177.46,59.154,14.906
"ED Visits","Erie","2008-2010","Total",,"Total",,192.68,64.226,16561,180.07,60.024,15.110
"ED Visits","Erie","2009-2011","Total",,"Total",,193.84,64.612,16615,180.71,60.236,15.174
"ED Visits","Erie","2010-2012","Total",,"Total",,189.06,63.020,16216,176.33,58.777,14.796
"ED Visits","Erie","2011-2013","Total",,"Total",,187.58,62.528,16097,174.93,58.309,14.687
"ED Visits","Erie","2012-2014","Total",,"Total",,197.73,65.910,16834,182.81,60.937,15.359
"ED Visits","Erie","2013-2015","Total",,"Total",,195.08,65.027,16535,179.52,59.839,15.100
"ED Visits","Erie","2014-2016","Total",,"Total",,188.65,62.884,15880,172.54,57.514,14.489
"ED Visits","Erie","2015-2017","Total",,"Total",,173.77,57.924,14582,158.59,52.865,13.305
"ED Visits","Erie","2016-2018","Total",,"Total",,168.18,56.060,13974,152.03,50.678,12.750
"ED Visits","Erie","2017-2019","Total",,"Total",,162.40,54.134,13450,146.33,48.777,12.283
"ED Visits","Essex","2005-2007","Total",,"Total",,165.46,55.155,628,159.41,53.137,0.574
"ED Visits","Essex","2005-2019","Total",,"Total",,772.70,51.513,2701,699.95,46.664,0.493
"ED Visits","Essex","2006-2008","Total",,"Total",,194.33,64.778,736,186.65,62.216,0.672
"ED Visits","Essex","2007-2009","Total",,"Total",,190.87,63.623,717,181.85,60.616,0.654
"ED Visits","Essex","2008-2010","Total",,"Total",,181.50,60.498,671,170.20,56.733,0.612
"ED Visits","Essex","2009-2011","Total",,"Total",,169.34,56.447,609,154.69,51.563,0.556
"ED Visits","Essex","2010-2012","Total",,"Total",,175.69,58.564,628,160.33,53.444,0.573
"ED Visits","Essex","2011-2013","Total",,"Total",,158.73,52.910,562,144.41,48.138,0.513
"ED Visits","Essex","2012-2014","Total",,"Total",,151.36,50.452,527,136.53,45.510,0.481
"ED Visits","Essex","2013-2015","Total",,"Total",,132.97,44.323,445,116.20,38.733,0.406
"ED Visits","Essex","2014-2016","Total",,"Total",,138.44,46.147,444,116.88,38.961,0.405
"ED Visits","Essex","2015-2017","Total",,"Total",,128.80,42.934,408,108.20,36.067,0.372
"ED Visits","Essex","2016-2018","Total",,"Total",,130.49,43.497,405,108.05,36.017,0.370
"ED Visits","Essex","2017-2019","Total",,"Total",,129.35,43.117,396,106.39,35.465,0.362
"ED Visits","Franklin","2005-2007","Total",,"Total",,198.55,66.182,983,190.81,63.604,0.898
"ED Visits","Franklin","2005-2019","Total",,"Total",,840.89,56.059,4121,805.05,53.670,0.752
"ED Visits","Franklin","2006-2008","Total",,"Total",,193.08,64.361,977,188.85,62.951,0.891
"ED Visits","Franklin","2007-2009","Total",,"Total",,212.10,70.702,1068,206.18,68.728,0.974
"ED Visits","Franklin","2008-2010","Total",,"Total",,219.35,73.117,1097,211.97,70.657,1.001
"ED Visits","Franklin","2009-2011","Total",,"Total",,208.24,69.414,1029,199.30,66.432,0.940
"ED Visits","Franklin","2010-2012","Total",,"Total",,195.31,65.102,966,186.99,62.330,0.881
"ED Visits","Franklin","2011-2013","Total",,"Total",,177.13,59.042,871,169.07,56.358,0.795
"ED Visits","Franklin","2012-2014","Total",,"Total",,166.22,55.408,817,159.05,53.018,0.745
"ED Visits","Franklin","2013-2015","Total",,"Total",,153.47,51.157,756,148.38,49.461,0.690
"ED Visits","Franklin","2014-2016","Total",,"Total",,130.71,43.572,642,126.12,42.039,0.586
"ED Visits","Franklin","2015-2017","Total",,"Total",,112.72,37.574,550,108.49,36.164,0.502
"ED Visits","Franklin","2016-2018","Total",,"Total",,98.95,32.984,478,94.45,31.484,0.436
"ED Visits","Franklin","2017-2019","Total",,"Total",,111.02,37.007,528,105.06,35.021,0.482
"ED Visits","Fulton","2005-2007","Total",,"Total",,138.02,46.007,700,126.42,42.139,0.639
"ED Visits","Fulton","2005-2019","Total",,"Total",,1098.95,73.263,5450,997.95,66.530,0.995
"ED Visits","Fulton","2006-2008","Total",,"Total",,186.93,62.310,943,170.01,56.670,0.860
"ED Visits","Fulton","2007-2009","Total",,"Total",,248.05,82.683,1250,225.05,75.016,1.141
"ED Visits","Fulton","2008-2010","Total",,"Total",,236.48,78.827,1193,214.83,71.610,1.089
"ED Visits","Fulton","2009-2011","Total",,"Total",,240.03,80.011,1207,217.97,72.656,1.102
"ED Visits","Fulton","2010-2012","Total",,"Total",,240.11,80.036,1220,221.27,73.755,1.113
"ED Visits","Fulton","2011-2013","Total",,"Total",,252.32,84.107,1268,231.52,77.175,1.157
"ED Visits","Fulton","2012-2014","Total",,"Total",,247.57,82.523,1236,227.31,75.772,1.128
"ED Visits","Fulton","2013-2015","Total",,"Total",,246.58,82.194,1214,224.71,74.902,1.109
"ED Visits","Fulton","2014-2016","Total",,"Total",,260.25,86.751,1267,235.59,78.528,1.156
"ED Visits","Fulton","2015-2017","Total",,"Total",,262.86,87.619,1274,237.08,79.026,1.162
"ED Visits","Fulton","2016-2018","Total",,"Total",,248.84,82.948,1182,220.19,73.396,1.078
"ED Visits","Fulton","2017-2019","Total",,"Total",,216.89,72.298,1022,190.65,63.550,0.933
"ED Visits","Genesee","2005-2007","Total",,"Total",,143.46,47.820,807,134.56,44.854,0.737
"ED Visits","Genesee","2005-2019","Total",,"Total",,546.71,36.447,2943,498.19,33.213,0.537
"ED Visits","Genesee","2006-2008","Total",,"Total",,132.42,44.139,740,123.51,41.170,0.675
"ED Visits","Genesee","2007-2009","Total",,"Total",,133.66,44.552,747,124.67,41.556,0.682
"ED Visits","Genesee","2008-2010","Total",,"Total",,133.97,44.657,741,123.67,41.223,0.676
"ED Visits","Genesee","2009-2011","Total",,"Total",,123.46,41.154,681,113.66,37.888,0.622
"ED Visits","Genesee","2010-2012","Total",,"Total",,108.61,36.204,601,100.46,33.486,0.548
"ED Visits","Genesee","2011-2013","Total",,"Total",,105.97,35.322,586,98.40,32.799,0.535
"ED Visits","Genesee","2012-2014","Total",,"Total",,99.00,32.999,533,90.08,30.027,0.486
"ED Visits","Genesee","2013-2015","Total",,"Total",,87.82,29.274,463,78.79,26.262,0.423
"ED Visits","Genesee","2014-2016","Total",,"Total",,76.65,25.550,396,67.81,22.603,0.361
"ED Visits","Genesee","2015-2017","Total",,"Total",,76.35,25.450,392,67.48,22.493,0.358
"ED Visits","Genesee","2016-2018","Total",,"Total",,85.42,28.475,429,74.27,24.755,0.391
"ED Visits","Genesee","2017-2019","Total",,"Total",,83.37,27.789,413,71.80,23.933,0.377
"ED Visits","Greene","2005-2007","Total",,"Total",,148.25,49.417,673,136.24,45.414,0.615
"ED Visits","Greene","2005-2019","Total",,"Total",,539.84,35.989,2263,466.91,31.128,0.413
"ED Visits","Greene","2006-2008","Total",,"Total",,144.88,48.294,651,131.50,43.833,0.594
"ED Visits","Greene","2007-2009","Total",,"Total",,139.01,46.336,611,123.54,41.179,0.557
"ED Visits","Greene","2008-2010","Total",,"Total",,124.52,41.507,534,108.26,36.086,0.487
"ED Visits","Greene","2009-2011","Total",,"Total",,113.43,37.811,488,99.34,33.114,0.446
"ED Visits","Greene","2010-2012","Total",,"Total",,113.30,37.765,488,99.88,33.292,0.445
"ED Visits","Greene","2011-2013","Total",,"Total",,112.10,37.368,472,97.15,32.384,0.431
"ED Visits","Greene","2012-2014","Total",,"Total",,109.79,36.597,455,94.23,31.410,0.415
"ED Visits","Greene","2013-2015","Total",,"Total",,97.76,32.587,398,82.98,27.660,0.363
"ED Visits","Greene","2014-2016","Total",,"Total",,97.00,32.332,394,82.61,27.538,0.359
"ED Visits","Greene","2015-2017","Total",,"Total",,89.42,29.807,354,74.50,24.833,0.323
